POSTCODE,Remoteness_Code,Remoteness_Name,RATIO,PERCENTAGE
800,72,Outer Regional Australia,1,100
810,72,Outer Regional Australia,1,100
812,72,Outer Regional Australia,1,100
820,72,Outer Regional Australia,1,100
828,72,Outer Regional Australia,1,100
829,72,Outer Regional Australia,1,100
832,72,Outer Regional Australia,1,100
834,72,Outer Regional Australia,1,100
835,72,Outer Regional Australia,1,100
836,72,Outer Regional Australia,1,100
837,72,Outer Regional Australia,1,100
838,72,Outer Regional Australia,1,100
839,72,Outer Regional Australia,1,100
841,72,Outer Regional Australia,1,100
845,73,Remote Australia,1,100
846,73,Remote Australia,1,100
847,73,Remote Australia,1,100
850,73,Remote Australia,1,100
853,73,Remote Australia,1,100
854,74,Very Remote Australia,1,100
860,74,Very Remote Australia,1,100
862,74,Very Remote Australia,1,100
870,73,Remote Australia,1,100
880,74,Very Remote Australia,1,100
885,74,Very Remote Australia,1,100
886,73,Remote Australia,1,100
909,72,Outer Regional Australia,1,100
2000,10,Major Cities of Australia,1,100
2006,10,Major Cities of Australia,1,100
2007,10,Major Cities of Australia,1,100
2008,10,Major Cities of Australia,1,100
2009,10,Major Cities of Australia,1,100
2010,10,Major Cities of Australia,1,100
2011,10,Major Cities of Australia,1,100
2015,10,Major Cities of Australia,1,100
2016,10,Major Cities of Australia,1,100
2017,10,Major Cities of Australia,1,100
2018,10,Major Cities of Australia,1,100
2019,10,Major Cities of Australia,1,100
2020,10,Major Cities of Australia,1,100
2021,10,Major Cities of Australia,1,100
2022,10,Major Cities of Australia,1,100
2023,10,Major Cities of Australia,1,100
2024,10,Major Cities of Australia,1,100
2025,10,Major Cities of Australia,1,100
2026,10,Major Cities of Australia,1,100
2027,10,Major Cities of Australia,1,100
2028,10,Major Cities of Australia,1,100
2029,10,Major Cities of Australia,1,100
2030,10,Major Cities of Australia,1,100
2031,10,Major Cities of Australia,1,100
2032,10,Major Cities of Australia,1,100
2033,10,Major Cities of Australia,1,100
2034,10,Major Cities of Australia,1,100
2035,10,Major Cities of Australia,1,100
2036,10,Major Cities of Australia,1,100
2037,10,Major Cities of Australia,1,100
2038,10,Major Cities of Australia,1,100
2039,10,Major Cities of Australia,1,100
2040,10,Major Cities of Australia,1,100
2041,10,Major Cities of Australia,1,100
2042,10,Major Cities of Australia,1,100
2043,10,Major Cities of Australia,1,100
2044,10,Major Cities of Australia,1,100
2045,10,Major Cities of Australia,1,100
2046,10,Major Cities of Australia,1,100
2047,10,Major Cities of Australia,1,100
2048,10,Major Cities of Australia,1,100
2049,10,Major Cities of Australia,1,100
2050,10,Major Cities of Australia,1,100
2052,10,Major Cities of Australia,1,100
2060,10,Major Cities of Australia,1,100
2061,10,Major Cities of Australia,1,100
2062,10,Major Cities of Australia,1,100
2063,10,Major Cities of Australia,1,100
2064,10,Major Cities of Australia,1,100
2065,10,Major Cities of Australia,1,100
2066,10,Major Cities of Australia,1,100
2067,10,Major Cities of Australia,1,100
2068,10,Major Cities of Australia,1,100
2069,10,Major Cities of Australia,1,100
2070,10,Major Cities of Australia,1,100
2071,10,Major Cities of Australia,1,100
2072,10,Major Cities of Australia,1,100
2073,10,Major Cities of Australia,1,100
2074,10,Major Cities of Australia,1,100
2075,10,Major Cities of Australia,1,100
2076,10,Major Cities of Australia,1,100
2077,10,Major Cities of Australia,1,100
2079,10,Major Cities of Australia,1,100
2080,10,Major Cities of Australia,1,100
2083,11,Inner Regional Australia,1,100
2085,10,Major Cities of Australia,1,100
2086,10,Major Cities of Australia,1,100
2087,10,Major Cities of Australia,1,100
2088,10,Major Cities of Australia,1,100
2089,10,Major Cities of Australia,1,100
2090,10,Major Cities of Australia,1,100
2091,10,Major Cities of Australia,1,100
2092,10,Major Cities of Australia,1,100
2093,10,Major Cities of Australia,1,100
2094,10,Major Cities of Australia,1,100
2095,10,Major Cities of Australia,1,100
2096,10,Major Cities of Australia,1,100
2097,10,Major Cities of Australia,1,100
2099,10,Major Cities of Australia,1,100
2100,10,Major Cities of Australia,1,100
2101,10,Major Cities of Australia,1,100
2102,10,Major Cities of Australia,1,100
2103,10,Major Cities of Australia,1,100
2104,10,Major Cities of Australia,1,100
2106,10,Major Cities of Australia,1,100
2107,10,Major Cities of Australia,1,100
2109,10,Major Cities of Australia,1,100
2110,10,Major Cities of Australia,1,100
2111,10,Major Cities of Australia,1,100
2112,10,Major Cities of Australia,1,100
2113,10,Major Cities of Australia,1,100
2114,10,Major Cities of Australia,1,100
2115,10,Major Cities of Australia,1,100
2116,10,Major Cities of Australia,1,100
2117,10,Major Cities of Australia,1,100
2118,10,Major Cities of Australia,1,100
2119,10,Major Cities of Australia,1,100
2120,10,Major Cities of Australia,1,100
2121,10,Major Cities of Australia,1,100
2122,10,Major Cities of Australia,1,100
2123,10,Major Cities of Australia,1,100
2125,10,Major Cities of Australia,1,100
2126,10,Major Cities of Australia,1,100
2127,10,Major Cities of Australia,1,100
2128,10,Major Cities of Australia,1,100
2129,10,Major Cities of Australia,1,100
2130,10,Major Cities of Australia,1,100
2131,10,Major Cities of Australia,1,100
2132,10,Major Cities of Australia,1,100
2133,10,Major Cities of Australia,1,100
2134,10,Major Cities of Australia,1,100
2135,10,Major Cities of Australia,1,100
2136,10,Major Cities of Australia,1,100
2137,10,Major Cities of Australia,1,100
2138,10,Major Cities of Australia,1,100
