Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
EAST MELBOURNE,-37.81664,144.98781100000002,Hard Pressed,-37.816612368659875,144.98754886883714,Café
EAST MELBOURNE,-37.81664,144.98781100000002,The Tippler & Co,-37.81651,144.98824,Wine Bar
EAST MELBOURNE,-37.81664,144.98781100000002,Yarra Park,-37.81931072266242,144.98663663864136,Park
EAST MELBOURNE,-37.81664,144.98781100000002,Krua Thai 2 Restaurant,-37.817631416933125,144.9912308267495,Thai Restaurant
EAST MELBOURNE,-37.81664,144.98781100000002,Fifty Acres,-37.81779793947013,144.99222893340314,Breakfast Spot
EAST MELBOURNE,-37.81664,144.98781100000002,George Street Cafe,-37.815327155972774,144.9892780158272,Café
EAST MELBOURNE,-37.81664,144.98781100000002,Tofu Shop International,-37.81779757754074,144.9924384759597,Vegetarian / Vegan Restaurant
EAST MELBOURNE,-37.81664,144.98781100000002,National Sports Museum,-37.81879251164155,144.9844092327563,Museum
EAST MELBOURNE,-37.81664,144.98781100000002,Qualia Empire Cafe,-37.81793,144.99186,Café
EAST MELBOURNE,-37.81664,144.98781100000002,Gate 3 MCG,-37.81887955809722,144.98436296407093,Stadium
EAST MELBOURNE,-37.81664,144.98781100000002,Vlado's,-37.81780013388703,144.99220392985134,Steakhouse
EAST MELBOURNE,-37.81664,144.98781100000002,The Piano Restaurant & Bar,-37.817585574545916,144.99068261515757,Thai Restaurant
EAST MELBOURNE,-37.81664,144.98781100000002,Fourteen Bridge,-37.81758831384416,144.99069634724592,Italian Restaurant
EAST MELBOURNE,-37.81664,144.98781100000002,twofatindians,-37.81629052248325,144.98443402976864,Indian Restaurant
EAST MELBOURNE,-37.81664,144.98781100000002,7-Eleven,-37.81550095137004,144.98497226623897,Convenience Store
EAST MELBOURNE,-37.81664,144.98781100000002,Mountain View Hotel,-37.81783520064804,144.99225876266317,Pub
EAST MELBOURNE,-37.81664,144.98781100000002,Richmond Hill Cafe & Larder,-37.817698186933285,144.99159642223174,Breakfast Spot
EAST MELBOURNE,-37.81664,144.98781100000002,Jolimont Station,-37.816466373070924,144.98421305978633,Train Station
EAST MELBOURNE,-37.81664,144.98781100000002,Laurent Boulangerie,-37.81627375315688,144.9850569760319,Café
EAST MELBOURNE,-37.81664,144.98781100000002,Pullman Melbourne on the Park,-37.816097162843356,144.98322676495906,Hotel
EAST MELBOURNE,-37.81664,144.98781100000002,Quest Apartments,-37.81648501152348,144.98877411472995,Hotel
EAST MELBOURNE,-37.81664,144.98781100000002,Qualia Lounge,-37.817596055441385,144.99069788620207,Cocktail Bar
EAST MELBOURNE,-37.81664,144.98781100000002,Tokyo Sushi,-37.81772861052653,144.99203561628053,Japanese Restaurant
EAST MELBOURNE,-37.81664,144.98781100000002,Park Lounge,-37.81573,144.98291,Restaurant
EAST MELBOURNE,-37.81664,144.98781100000002,Slade Chemmart Pharmacy,-37.81766,144.99287,Pharmacy
EAST MELBOURNE,-37.81664,144.98781100000002,Flinders Street Station (Platform 12),-37.81894001376889,144.98320535499252,Platform
WEST MELBOURNE,-37.806255,144.941123,Roller Door,-37.80582848466946,144.9422712293237,Café
WEST MELBOURNE,-37.806255,144.941123,Platform 1,-37.806989146772196,144.9420224029679,Platform
WEST MELBOURNE,-37.806255,144.941123,The Railway Hotel,-37.80731478462414,144.94243639072704,Bar
WEST MELBOURNE,-37.806255,144.941123,Platform 6,-37.807173872951815,144.9420550524909,Platform
WEST MELBOURNE,-37.806255,144.941123,Platform 2 & 3,-37.80717947470249,144.94204801176903,Train Station
WEST MELBOURNE,-37.806255,144.941123,Platform 5,-37.80739695259814,144.94208879054224,Platform
WEST MELBOURNE,-37.806255,144.941123,North Melbourne Take Away,-37.80443438133668,144.9431783479228,Café
WEST MELBOURNE,-37.806255,144.941123,Melbourne Yard Wash Facility,-37.80462,144.93808,Train Station
WEST MELBOURNE,-37.806255,144.941123,Arena Theatre Company,-37.803571,144.943483,Theater
WEST MELBOURNE,-37.806255,144.941123,North Melbourne Station,-37.8070429732597,144.94204155416156,Train Station
WEST MELBOURNE,-37.806255,144.941123,Bus Stop 40465,-37.809240454508036,144.9441652448595,Bus Stop
WEST MELBOURNE,-37.806255,144.941123,Costco Food Court,-37.80925718935783,144.9441843203918,Food Court
WEST MELBOURNE,-37.806255,144.941123,Wine Clearance Outlet,-37.807553,144.946509,Wine Shop
SEDDON,-37.808769,144.895486,Advieh,-37.80940550998806,144.89002138333223,Café
SEDDON,-37.808769,144.895486,Seddon Wine Store,-37.80577438972465,144.89199307150426,Wine Shop
SEDDON,-37.808769,144.895486,A. Bongiovanni & Sons,-37.80677150315461,144.89248766466156,Grocery Store
SEDDON,-37.808769,144.895486,Luca Haus,-37.8064,144.89088,Café
SEDDON,-37.808769,144.895486,Sourdough Kitchen,-37.80577314762543,144.89198215755056,Bakery
SEDDON,-37.808769,144.895486,Luxsmith,-37.8067218,144.8905273,Café
SEDDON,-37.808769,144.895486,Fig & Walnut,-37.80975,144.89542,Café
SEDDON,-37.808769,144.895486,Seddon Station,-37.809122111389364,144.89554948885248,Train Station
SEDDON,-37.808769,144.895486,Focus Fitness,-37.80991523859455,144.89927438460768,Gym
SEDDON,-37.808769,144.895486,Charles St Fish & Chips,-37.806633445545565,144.8919127263567,Fish & Chips Shop
SEDDON,-37.808769,144.895486,Lola Café,-37.80682,144.89173,Café
SEDDON,-37.808769,144.895486,Est.1906,-37.80679,144.89154,Café
SEDDON,-37.808769,144.895486,Sun Mei,-37.8068,144.89149,Chinese Restaurant
SEDDON,-37.808769,144.895486,MAPA,-37.805929977937545,144.89216526886364,Dance Studio
SEDDON,-37.808769,144.895486,Harris Reserve,-37.80800692154377,144.890591,Park
SEDDON,-37.808769,144.895486,Waldies Bakery,-37.80575943676859,144.89179451523253,Bakery
SEDDON,-37.808769,144.895486,Charles and Gamon,-37.806855984046145,144.89043509931494,Gastropub
SEDDON,-37.808769,144.895486,Cuoco's Pizza,-37.81004,144.89003,Pizza Place
FOOTSCRAY,-37.79977,144.89958700000003,Nhu Lan Bakery,-37.80003322390969,144.90140253020812,Bakery
FOOTSCRAY,-37.79977,144.89958700000003,Pho Hung Vuong Saigon,-37.79983815414406,144.900633844438,Vietnamese Restaurant
FOOTSCRAY,-37.79977,144.89958700000003,8bit,-37.79886020273501,144.89911846323577,Burger Joint
FOOTSCRAY,-37.79977,144.89958700000003,Fox in the Corn,-37.79902884463544,144.89914556292504,Bar
FOOTSCRAY,-37.79977,144.89958700000003,T. Cavallaro & Sons,-37.79988,144.902,Bakery
FOOTSCRAY,-37.79977,144.89958700000003,Sapa Hills,-37.8000058852715,144.9015939920566,Vietnamese Restaurant
FOOTSCRAY,-37.79977,144.89958700000003,Small French Bar,-37.79965071230641,144.89924751606395,French Restaurant
FOOTSCRAY,-37.79977,144.89958700000003,Rudimentary,-37.79812317160685,144.90113313703904,Café
FOOTSCRAY,-37.79977,144.89958700000003,Pho Chu The,-37.80003094396651,144.9020759629826,Vietnamese Restaurant
FOOTSCRAY,-37.79977,144.89958700000003,Mr West,-37.800410849595146,144.89909062506453,Beer Bar
FOOTSCRAY,-37.79977,144.89958700000003,Small Graces,-37.799189911523,144.90059405565262,Café
FOOTSCRAY,-37.79977,144.89958700000003,Saigon Pho,-37.7992591255616,144.89973771335173,Vietnamese Restaurant
